"Story","Title","Result","Date","Stability","Duration (s)"
"As a user i should be able to make API call for pets status from petsstore","User calls webservice to find pet status","SUCCESS","2019-11-14T18:17:41.010054Z[Europe/London]","0.0","5.69"
"As a user i should be able to search for given word in wikipedia and same time i can view result in different language","Search for given word in Wikipedia","SUCCESS","2019-11-14T18:17:46.711763Z[Europe/London]","0.0","25.61"
